userName,content,score,thumbsUpCount,appVersion
A Google user,"I completely love this game! I maxed out everything in the 3rd hotel, even though all scuba gear said 0% towards my next star, it still gave me the 5th star. The 4th hotel shows 0% on the disco facility too. As a side note, the game is painfully slow without taking advantage of ads, and full of moments where there's no where near enough money for even the most basic items.",4,730,1.2.0
A Google user,"I've enjoyed a lot of titles from this developer but the monetization is getting worse and worse. It's always been pretty heavy, but this is ridiculous. Especially only getting 10 minutes of 2x per ad (usually just under a minute long)... If you have more patience than me, by the time you've watched enough for 2 hours, you need to watch an extra ad to top it up to a full bar! Very excessive.",2,582,1.1.1
A Google user,The game is great. Can easily spend time on it. But to make it less annoying you will have to pay a small amount to get rid of the ads otherwise it becomes very annoying. Another things that can be looked at is the logistics. Some services the guests have to spend at least 30 mins to reach and hence most of them don't reach on time. The event hotels the Housekeeping keeps on zigzagging due to the room numbering system leading to unnecessary rooms not clean messages.,4,575,1.7.1
A Google user,"I really like the game. It's a bit challenging to manage the money, but all over it's great. Some feedback: 1) the couple doesn't sit together to eat 2) the ad placement avoids the notch area and leaves it empty 3) the status bar for money is coming under the notch bar 4) guests go all the way to the exit and then come back to the front desk while checking out",4,505,1.1.0
A Google user,"It's a very good game! It haves a pretty high and interesting stuff, it is one lf the best tycoons, it's pretty good and it got most of the best things that other's don't have, The only problem i see is the high price for upgrading the Main Generator, and the batteries, which is very powerful but still, it doesn't even cover like enough upgrades to get a good price for the room. Well, this game is still very good and haves every property that could even get this to the best. tycoon. game. ever.",5,482,1.2.1
Garry Masol,"It's unique. This is the first hotel tycoon game I've seen with such unique graphics. It looks good, it feels good. It's awesome! However, i do have a complaint about the sensitivity, the game doesn't respond to my touches/taps sometimes when im in a room, if i press the left/right arrows the game suddenly doesn't recognize any input. If you could fix that, that would be great!",5,462,1.8.4
A Google user,"Simple but fun game, watching ads is completely your choice, no annoying popups occur. It's very satisfying to upgrade everything in your hotels, and it's playable without spending any money (I personally think that 11_ for all-time ads-free bonuses would be a bit expensive though). And the support is THE fastest support I've ever encountered. Not even a minute later I had all the answers to my problem. Keep up the good work! ____ Edit: Santa's shelter seems a bit lazy (just a bigger Codinental)",4,437,1.3.0
Ali Boop,"A fun game, I understand the issues with ads but it's better than most games of its kind. I've seen way worse. I did buy no ads and it's worked so far. Each hotel presents more of a challenge and more effort. which is fair. It does take a lot to get started. Though a tip. If you buy no ads you can boost your double money without watching an ad for it. which really helps.",5,388,1.8.4
A Google user,"The game is very unbalanced. Watching ads gives much more money than playing, so to move forward you pretty much only need to watch ads. Everything else you upgrade is pointless. If you don't watch ads , progress is unreasonably slow. The ads are too intrusive in terms of the playing experience too. Every two minute or so there's a loud sound and a guy start dancing in your hotel's lobby, until you either watch the ad or dismiss it.",1,382,1.2.0
A Google user,"Really enjoyed it up until unlocking the last hotel. The design seemed rushed and not well thought out. The layout is messy, cluttered and not appealing. I paid for stars that I used and upon reopening the game, the items I purchased had disappeared and the stars were not returned. Disappointed that this is the culmination of my time and money.",2,339,1.2.0
A Google user,"This is the first time I've ever played a game and caught up to the developers. I love that we have the option to pay a one time cost and remove all ads. I love to support the developers and that way I'm not constantly buying small upgrades... Tedious. Love this game. Brilliant, and super cute. I love watching the people roam the hotel and use the various facilities there! The animations are great.",5,327,1.3.0
A Google user,"Wow, this game is so much fun! Its so addicting. It is so easy to get lots of money in this game, all you do is ask the dancing king! I think thats halarious __. You also get money while offline, thats actually a really great perm. The animation in the game,in my opinion is really nice, well, other than you can kind of see the private areas.__ ITS NOT THAT BAD...Its also really cool that you can get different hotels and fully upgrade them all. Download this app! You won't regret it!",5,327,1.2.0
A Google user,"Pretty terrible. Seen a review saying you dont have to watch the ads, but... you do. The point of the game is watching ads, you can't play without unless you want to sit for hours watching nothing happen. It could have been made into an awesome game, but I didnt expect an ad suggestion every five minutes that if I don't accept a 30 second video I will start losing :') So cheap and awful....",2,326,1.2.2
Patrick Coleman,"If you want a game that is as realistic as can be expected, then this is it! I've had nothing but fun challenges here. The graphics are excellent, the ads frequency are tolerable and become an acceptable routine. Having been in hotel management, this is a great primer for promotability. A few speed and music glitches here and there in upper levels but they work themselves out. Be patient. This game gets my highest rating ever! The music stays in your head all day! It's the greatest.",5,311,1.7.4
A. Q,"Ads issue. The game is nice and addictive. I like it. But like any other f2p games, you need you watch ads. Which is fine I understand. The problem is this: you watch the ads but you don't get the reward. It happened a lot of times, imagine waiting for a 20-30second ad to get a reward. And you don't get it.that is so frustrating. And when you contact the the customer support they tell you it's internet connection. Sure ..",2,304,1.8.2
Jenna Edgley,"Love the game, but the latest update has meant that I can't play the game in an enjoyable way anymore. I can watch one video and then it goes into a permanent loading cycle for all other videos until I restart the game, and then repeat. ***as of 9th of May 2021 this issue is STILL happening. It STILL always seems to tie in with when events are happening.***",1,280,1.9.9
A Google user,"I actually really enjoy this game. I h aven't encountered any issues add off yet. My only suggestion is earnings for all hotels should be combined into one 'account,' so when working on other hotels we can use that money. My first hotel is all updated but I still make money off of it and have no use for it. Anyways, keep up the great work!",5,279,0.3.1
JAM A,I like the game. I like the style and graphics. Game play is fun and challenging as you progress in unlocking the different hotels. I do hope more hotels will be added. I'm on the 2nd to last one. One request if it is at possible. When upgrading certain areas mainly bedrooms. An upgrade ALL button would be nice. It would work if you had enough money to completely upgrade everything in the room. Similar to how the manager informs you to build a room as you have enough money.,4,268,1.8.4
Kyle Doolady,"I maxed all hotels, haven't been on in a month and just checked to see if there was a new hotel.. nope, but Little Camelot got reset for the 3rd time on me now... I'm done.",2,262,1.9.8
Shambhu Nath Das,"The best game ever in my life keep it up!!! There are a lot of things to do. Great graphics. But I wish that there were more problems or events like different types of food, running out of food or water, theives, costumers who would pay more and different types of things to clean in the rooms. Overall, best idle game ever!",5,260,2.6.1
A Google user,"I actually enjoy the game quite a bit. Graphics are decent and it is good fun expanding and improving your hotel. I also love the little comedy bits (maid face down on sofa).There are loads of ads but they are optional, you are not forced to watch them if you choose not to. I usually hate games with too many ads, but I actually watched a lot of these because I wanted piles of extra cash to expand my hotel faster. I have again caught up to the developers, so am eagerly awaiting the next update.",5,258,1.3.1
A Google user,"It's pretty much impossible to make any progress without watching copious numbers of adverts - and over ¡ê10 for an advert-free version is daylight robbery. They're technically optional but if you want to achieve anything in a reasonable amount of time, you need that extra cash boost - especially because it's not a true idle game. You can have a full hotel, switch to another app, come back a few seconds later and your hotel is half empty. It doesn't properly simulate running in the background.",3,257,1.4.2
A Google user,"This is a wonderful game. Unlike all other idle games, the prices and income are fair and equal. Quite addictive and very satisfying to see the objects go from level one to 10. Also, almost no compulsory ads, and premium is not required to play in the slightest. This investor guy swings in every so often if you're running low on cash, offering an ad in exchange for a bunch of money. One thing for improvement; Please could we have a way to transfer funds from one hotel to another? Install btw!!!",5,256,1.2.2
A Google user,"The game was good in the beginning but then it started not giving me my bonus rewards after I watched the videos. Actually, when I pressed the video tab it played for a short second then went back to the game with no reward, that sucks cause my reward was $10,500 which would have helped my balance a lot!!! I'm afraid this game doesn't deserve any stars until this gets fixed. Also, I tried to post this without giving it a star and it wouldn't let me. Sad!",1,248,1.2.0
A Google user,"Don't be fooled about the lego-like graphics... this is really addictive!! Simple yet entertaining! A great way to get the basics of management. I just noticed that there is a bug with the housekeepers. Sometimes they get stuck (or hung up) and ends up not cleaning the room, then the option to clean all rooms for an ad pops up. But when you try to refresh the game, it all goes back to normal. Fix that, and I guess I could give a 5 star. __",4,243,1.7.1
Aayush Bennur,"I LOVE this game, the gameplay is super fun and allows me to relax when I am tense. Its not one of those easy games and requires strategey which I love. It hardly has any pop-up ads and there are only ads when you want a reward. The only reason why it is not 5-star is beacause it is slow in the beginning and if you want to grow fast you have to pay SO much money. Overall it is a great game and I recommened it to anybody who sees this post (if they like strategy games).",4,240,1.8.4
Anisha,"I enjoyed playing the game. Now that I have completed all levels ie all hotels. I don't know what to do except to uninstall. I did not mind add once in a while but there were too much. Also allow money earned from one hotel to be used in another. Plus there is no way we can customise, I feel we just have to see and click. Nothing else. Give us option to design our own hotel, in our own way, what facilities. That would have been much fun. Some activities to earn cash. There is no task I feel.",3,240,1.7.1
A Google user,"I love this simple game. Just enough to do that I can play while watching tv and it's not distracting. The event hotels are a nice wee addition. I don't mind the ads, it all helps the game along, but I have a major issue with 45 second + ads. Other ads can be as short as 15 seconds, but all I seem to get now are the long 45 seconds. There is no option to cut the ad short. This is reducing my rating and enjoyment of the game. 45 second ads are ridiculous!",3,238,1.7.1
Lloyd Alvarez,"It's a pretty decent game. It's real fun and addictive. It, however becomes so repetitive as you move on to another level. It's not much of an idle game because you have to check on it every 2hrs (unless of course you avail the VIP). It would be better if you have like a drone view option to view the overall activities in the hotel. Lastly, profit from the previous hotels should be used for the developing ones, otherwise it's useless.",2,231,1.8.3
Rebecca Parry,"I enjoy the game, but I have 2 suggestions for a near-future update, both based on the fact that once a hotel becomes 5 stars, it generates money but there's nothing else to spend it on (at least, nothing that I've found). I think it would be nice to be able to exchange game money for diamonds (as opposed to just real money), and transfer money from one hotel to another. I like the separation between hotel money instead of having 1 big money pot for all hotels, but I wish I could transfer money.",3,228,1.7.2
